lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
54.143,-165.7854,99553,2023-02-19 02:00:00+00:00,0,89,0
39.8789,-84.0218,45341,2023-02-19 02:00:00+00:00,0,122,0
39.93,-84.0217,45344,2023-02-19 02:00:00+00:00,0,108,0
39.9893,-83.9389,45349,2023-02-19 02:00:00+00:00,0,92,0
39.8543,-83.6653,45368,2023-02-19 02:00:00+00:00,0,147,0
39.9473,-83.6157,45369,2023-02-19 02:00:00+00:00,0,108,0
40.0139,-83.8333,45372,2023-02-19 02:00:00+00:00,0,258,0
39.9271,-83.8132,45501,2023-02-19 02:00:00+00:00,0,235,0
39.9242,-83.8088,45502,2023-02-19 02:00:00+00:00,0,235,0
39.9528,-83.7804,45503,2023-02-19 02:00:00+00:00,0,251,0
39.9408,-83.8343,45504,2023-02-19 02:00:00+00:00,0,229,0
39.9106,-83.7856,45505,2023-02-19 02:00:00+00:00,0,232,0
39.9104,-83.8275,45506,2023-02-19 02:00:00+00:00,0,235,0
39.0211,-84.2112,45102,2023-02-19 02:00:00+00:00,0,123,0
39.0957,-84.1451,45103,2023-02-19 02:00:00+00:00,0,74,0
38.9424,-84.0919,45106,2023-02-19 02:00:00+00:00,0,79,0
39.8663,-83.9385,45323,2023-02-19 02:00:00+00:00,0,116,0
39.9189,-83.9449,45319,2023-02-19 02:00:00+00:00,0,107,0
39.9991,-83.6222,43010,2023-02-19 02:00:00+00:00,0,67,0
40.0564,-84.0254,45389,2023-02-19 02:00:00+00:00,0,229,0
40.686,-81.0219,44607,2023-02-19 02:00:00+00:00,0,63,0
40.5787,-81.0818,44615,2023-02-19 02:00:00+00:00,0,45,0
40.5861,-81.1986,44620,2023-02-19 02:00:00+00:00,0,57,0
40.4517,-81.212,44639,2023-02-19 02:00:00+00:00,0,72,0
40.6845,-81.1838,44644,2023-02-19 02:00:00+00:00,0,58,0
40.6263,-80.956,44651,2023-02-19 02:00:00+00:00,0,43,0
40.5184,-81.2339,44675,2023-02-19 02:00:00+00:00,0,77,0
38.7926,-84.1382,45112,2023-02-19 02:00:00+00:00,0,60,0
40.1784,-83.647,43009,2023-02-19 02:00:00+00:00,0,41,0
40.2049,-83.6466,43047,2023-02-19 02:00:00+00:00,0,45,0
40.2229,-83.5615,43060,2023-02-19 02:00:00+00:00,0,41,0
40.2158,-83.9579,43070,2023-02-19 02:00:00+00:00,0,91,0
40.1058,-83.9631,43072,2023-02-19 02:00:00+00:00,0,140,0
40.1066,-83.7671,43078,2023-02-19 02:00:00+00:00,0,221,0
40.1022,-83.8379,43083,2023-02-19 02:00:00+00:00,0,275,0
40.1816,-83.5461,43084,2023-02-19 02:00:00+00:00,0,41,0
40.0647,-83.5724,43044,2023-02-19 02:00:00+00:00,0,28,0
38.8262,-84.0986,45120,2023-02-19 02:00:00+00:00,0,74,0
39.2209,-84.1188,45122,2023-02-19 02:00:00+00:00,0,69,0
39.2445,-84.2588,45140,2023-02-19 02:00:00+00:00,0,93,0
40.6195,-80.835,43945,2023-02-19 02:00:00+00:00,0,25,0
40.6781,-80.8862,43962,2023-02-19 02:00:00+00:00,0,41,0
40.6171,-80.6621,43968,2023-02-19 02:00:00+00:00,0,41,0
40.8853,-80.6975,44408,2023-02-19 02:00:00+00:00,0,17,0
40.8406,-80.5465,44413,2023-02-19 02:00:00+00:00,0,68,0
40.763,-80.7042,44415,2023-02-19 02:00:00+00:00,0,33,0
40.7731,-80.9144,44423,2023-02-19 02:00:00+00:00,0,52,0
40.6774,-80.6006,43920,2023-02-19 02:00:00+00:00,0,48,0
40.7142,-80.9381,44427,2023-02-19 02:00:00+00:00,0,72,0
40.7592,-80.7587,44432,2023-02-19 02:00:00+00:00,0,38,0
40.7579,-80.553,44441,2023-02-19 02:00:00+00:00,0,37,0
40.8489,-80.6209,44445,2023-02-19 02:00:00+00:00,0,25,0
40.7789,-80.6202,44455,2023-02-19 02:00:00+00:00,0,31,0
40.9,-80.8619,44460,2023-02-19 02:00:00+00:00,0,41,0
40.8973,-80.7631,44490,2023-02-19 02:00:00+00:00,0,40,0
40.7093,-80.7014,44492,2023-02-19 02:00:00+00:00,0,25,0
40.8631,-80.7585,44431,2023-02-19 02:00:00+00:00,0,21,0
39.3317,-84.4072,45071,2023-02-19 02:00:00+00:00,0,81,0
39.4488,-83.8417,45177,2023-02-19 02:00:00+00:00,0,94,0
39.4805,-83.6772,45166,2023-02-19 02:00:00+00:00,0,50,0
39.2137,-84.3002,45147,2023-02-19 02:00:00+00:00,0,77,0
39.1657,-84.233,45150,2023-02-19 02:00:00+00:00,0,105,0
38.8583,-84.1958,45153,2023-02-19 02:00:00+00:00,0,93,0
38.8101,-84.2122,45156,2023-02-19 02:00:00+00:00,0,76,0
38.9537,-84.2379,45157,2023-02-19 02:00:00+00:00,0,112,0
39.182,-84.0863,45158,2023-02-19 02:00:00+00:00,0,67,0
39.1232,-84.135,45160,2023-02-19 02:00:00+00:00,0,69,0
39.49,-83.6503,45169,2023-02-19 02:00:00+00:00,0,53,0
39.0753,-84.0432,45176,2023-02-19 02:00:00+00:00,0,74,0
39.3034,-83.974,45107,2023-02-19 02:00:00+00:00,0,103,0
39.4042,-83.9594,45113,2023-02-19 02:00:00+00:00,0,103,0
39.3568,-83.8572,45114,2023-02-19 02:00:00+00:00,0,88,0
39.3127,-83.8005,45146,2023-02-19 02:00:00+00:00,0,97,0
39.2917,-83.8931,45148,2023-02-19 02:00:00+00:00,0,103,0
39.3321,-83.6882,45159,2023-02-19 02:00:00+00:00,0,59,0
39.5514,-83.7881,45164,2023-02-19 02:00:00+00:00,0,94,0
39.0688,-84.2802,45245,2023-02-19 02:00:00+00:00,0,115,0
40.8286,-80.8967,44493,2023-02-19 02:00:00+00:00,0,48,0
39.3402,-84.3998,45069,2023-02-19 02:00:00+00:00,0,87,0
39.5554,-84.6219,45064,2023-02-19 02:00:00+00:00,0,107,0
40.032,-81.0066,43718,2023-02-19 02:00:00+00:00,0,24,0
40.0192,-81.0767,43719,2023-02-19 02:00:00+00:00,0,34,0
40.0631,-81.0743,43759,2023-02-19 02:00:00+00:00,0,41,0
39.9053,-80.9578,43902,2023-02-19 02:00:00+00:00,0,49,0
40.1073,-80.8412,43905,2023-02-19 02:00:00+00:00,0,46,0
40.0204,-80.7638,43906,2023-02-19 02:00:00+00:00,0,41,0
